sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou,perturbed_class_6_iou,perturbed_class_7_iou,perturbed_class_8_iou,perturbed_class_9_iou,perturbed_class_10_iou,perturbed_class_11_iou,perturbed_class_12_iou
1,0.07838593087345362,0.7352722799777984,55.62628936767578,0.5852108603658033,0.915250596375608,0.9649165124943963,0.7734015354184537,0.0,0.17047849835367304,0.49319520770215786,0.33943453528334244,0.7449680420757127,0.8251724539857799,0.5155973877924642,0.6945809278502074,0.6477588801645583,0.5229866072590874
2,0.07857559115439654,0.7363341438770294,57.47698211669922,0.5857365453688472,0.9159553610866034,0.9665728731684616,0.7740856926070211,0.0,0.16682268241023288,0.49307262480954145,0.33781659982476864,0.7472878312461876,0.8296280810086575,0.5142395085771645,0.6926645836383465,0.6518591551543599,0.5245700962636693
3,0.07829557435959578,0.7366191992163658,50.130977630615234,0.5853831182305597,0.9154040157952344,0.9656198069285991,0.7734467534763413,0.0,0.17287260668044366,0.49123105484657803,0.3368842955770691,0.7484006228990895,0.8273201452762254,0.5147039397642086,0.6942397493865293,0.6482367909997991,0.5216207553671589
4,0.07836488385498523,0.7339417091012002,68.55392456054688,0.5847886676061944,0.9132246653223862,0.964124726086934,0.7723113263830009,0.0,0.17273854468126776,0.49984123250827933,0.3337854627664455,0.7453587772290456,0.8247245809830165,0.5148587788176597,0.6936967243336454,0.6448795413536039,0.5227083184152421
5,0.0777964655533433,0.7405399787425995,39.2524528503418,0.5865321948088522,0.9159518717162437,0.9640554577259628,0.7744555006836212,0.0,0.17512990687863353,0.4966472874681542,0.33727598114119095,0.7469291634707941,0.8266043729088067,0.5189526246905141,0.6944990577577472,0.6505969298726856,0.5238203782007234
6,0.0792770409360528,0.7388662624359131,70.63687896728516,0.5855514456907265,0.913898273563761,0.9631359994007678,0.7756124912570657,0.0,0.16963494073545332,0.49702102594513276,0.3351347069377747,0.7435528433111225,0.8230795222763146,0.5255507887106207,0.6957011486932306,0.646545754610942,0.5233012985372579
7,0.07787532715499401,0.7417285642027855,41.448326110839844,0.5848549095504956,0.9162809372496202,0.9653826060145605,0.7742877462665831,0.0,0.17015207359820833,0.49253691418788786,0.3371357605591671,0.7460880000621515,0.8246535284876577,0.5133264177618645,0.6929884163395803,0.6463255485899029,0.5239558750392597
8,0.07825405439734459,0.7343254020810127,47.696414947509766,0.5850480145688789,0.9149683586695508,0.9653640050596543,0.7750329880576841,0.0,0.17398914360651382,0.49129255603832966,0.3427284235609502,0.7471504875094359,0.8241325575496277,0.5107704667269872,0.6935423289447239,0.6454702386443001,0.5211826350276685
9,0.07780820193141699,0.7334620794653892,21.733592987060547,0.5849921126438938,0.9151373507708566,0.9645622261985561,0.7726244132644977,0.0,0.1701990685721764,0.49294901121332796,0.3389758236722078,0.7462160273201998,0.8281217862892708,0.5131638081949039,0.6912774630605976,0.6494288812370074,0.5222416045770185
10,0.07733810094743968,0.7393643152713776,37.5069694519043,0.5855232786401119,0.9152642668298514,0.9652374438657142,0.7745951292278506,0.0,0.17994636819400722,0.48899745585793286,0.33648634195224425,0.7463306352221942,0.8295406277287664,0.5130344108446299,0.6929009488855584,0.6467818907655501,0.522687102947154
11,0.07857406773418188,0.7383265602588653,66.86543273925781,0.5827925172614008,0.9152705530820576,0.9650510627446064,0.7736027047224674,0.0,0.16694688789279144,0.4914614768627239,0.337008113715122,0.7464705185028319,0.8243484163056447,0.49344890143116305,0.6919904864022457,0.6498582770738967,0.5208453256626598
12,0.07754946052283049,0.7326976919174194,34.447174072265625,0.5839324248091337,0.9169002107635807,0.9650053697928339,0.7738682380837832,0.0,0.1695721317383858,0.49276665650939316,0.34048075006553574,0.7457143248225139,0.8264690671159346,0.49819014400606165,0.692939901185909,0.6446907724408032,0.5245239559940035
13,0.07837522904574871,0.7350787380337716,48.66206359863281,0.5841545266095065,0.9145104703703208,0.9651141655216752,0.774494560921387,0.0,0.1686609675183304,0.49117236577878126,0.33669237947261405,0.7475438144685469,0.824546919144674,0.5036243871627515,0.6941136969582221,0.6508695834586775,0.5226655351476048
14,0.07817096725106239,0.7294581037759781,40.10945129394531,0.5830431500023496,0.914918158954099,0.9656014393519305,0.7738228070183629,0.0,0.16694081363861052,0.4854522165676395,0.33879178601084126,0.7455966602949978,0.8263275564885939,0.5043842483491411,0.688829770048759,0.6483491377432778,0.5205463555642923
15,0.07746819276362657,0.7297349509596824,37.07421112060547,0.5824863055338269,0.9148086081988294,0.9649431004945217,0.775312954546252,0.0,0.1700111091738529,0.48994684932459304,0.3373500208031126,0.7447970873208752,0.8256494058290081,0.490136647645495,0.6924817141628518,0.643814342251408,0.5230701321889503
16,0.07798783684521914,0.7351877480745316,40.63898849487305,0.5850122547997016,0.9166292253344572,0.9646461071099006,0.7735581705281397,0.0,0.17474051444670888,0.49096018420621834,0.3359828105815381,0.7461962419294131,0.8230407318393859,0.5154297581909998,0.6952601817484745,0.6461798236122355,0.5225355628686497
17,0.07809140215069056,0.7386716195940971,43.88866424560547,0.5864563965600612,0.9156321310209925,0.9640497290180775,0.7749734213081707,0.0,0.1728057982192297,0.5029367714026557,0.3312971003903722,0.743936947234431,0.825271818404018,0.525868079765723,0.6923426827330706,0.6489401081529592,0.5258785676310959
18,0.07820639185607434,0.741451708972454,47.44711685180664,0.586610576427803,0.9157926923263777,0.9652983513631911,0.7750044649676766,0.0,0.1787736016060697,0.4976583612211619,0.3377542208855671,0.7446928047789863,0.8287046455689152,0.5200876615128931,0.6919626101917381,0.6466922608143713,0.5235158183244901
19,0.07776247495412826,0.7407124024629593,43.47957229614258,0.5828419796690935,0.9146814161826275,0.9635242474753981,0.7729835462105775,0.0,0.17615028299263472,0.49742819805056626,0.32972327968949244,0.7447423528523314,0.8224527310616181,0.5058682123617867,0.6892984450274932,0.6399639466474573,0.5201290771462302
20,0.07766323363035918,0.7317423313856125,42.52307891845703,0.5831988704278024,0.9161132641873864,0.9652946328211832,0.7750863351175211,0.0,0.17384447807649642,0.4963065551981616,0.3368962504251334,0.7447911832044838,0.8268912815668389,0.48693670299294795,0.6930112980102189,0.6444969531810482,0.5219163807800109
