sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou,perturbed_class_6_iou,perturbed_class_7_iou
1,8.4975238299913,9.963495278198195,35169.62890625,0.060085056662366895,0.025206576969480813,0.3439437214907353,0.0005004684032165783,0.0012139208154691595,0.002547943117246011,0.010220325660665178,0.0011174940137854547,0.09593000282833661
2,4.230504747012966,5.006870556917957,6571.8095703125,0.061092395820369995,0.127497424108136,0.21693285906634782,0.00014601708265906484,0.00010351043135295272,0.002762946707973314,0.023640083688772667,0.0007702664891759679,0.11688605898854221
3,6.154791644995221,7.438161595578226,18601.44140625,0.06849323541225821,0.16030288195954762,0.3231977948802413,0.0004877362828921115,0.000616228617657004,0.003693942782486158,0.0005990083844059291,0.0009555499479349154,0.0580927404429008
4,13.764558905140241,14.986591604252398,38550.5859375,0.04246551530602354,0.03632317769011996,0.2573741264103822,2.031681533919558e-05,0.0007037788551933361,0.0017947873249285042,0.0,0.0011104812747219613,0.04239745407750319
5,3.9579768740736143,4.529253180852245,9989.8916015625,0.06857100070340258,0.15528985682311866,0.2628040138904202,0.0,0.0009975001566754173,0.003001727884241835,3.1935617794526235e-05,0.0015192883279976706,0.12492368292697223
6,3.833837285837212,4.578713765745364,12606.705078125,0.116146457746228,0.4042387040570829,0.2844786278978181,0.010021221908449871,0.0020769828926905133,0.015549687748857873,0.016280688831922362,0.002687571447462948,0.1938381771855395
7,24.79915474227868,27.91052189542494,65705.328125,0.06623358767036032,0.155701868231456,0.24774403028136247,2.657397663615974e-06,0.000496526871317639,0.0015481029064829139,0.006564913989703346,0.0003501222984939181,0.11746047938640274
8,7.4974681887637065,8.579391313679505,15660.716796875,0.07344626043621401,0.2245327111798225,0.28373541315731304,0.0006849193444053505,3.501931899097669e-05,0.001614468853462702,0.007811440771408363,0.0015797130518014873,0.06757639781250754
9,12.393744254550775,14.402487176473784,34866.203125,0.04964753564306757,0.028580534994842692,0.3093766587103653,0.003750150686353963,0.0004842074841745276,0.004684651348294169,0.0037767800242277188,0.0008976569336911363,0.045629644962591025
10,10.5081700131272,12.296588323303364,26132.244140625,0.08573294310757731,0.30201324575987887,0.2956820858334484,0.0005157914979731304,0.0009977734869411775,0.003751067606968163,0.008138165112567559,0.0019797107508503285,0.07278570481199081
11,2.0795179489894418,2.1637980882691767,2484.017333984375,0.12626319253666776,0.365024176086924,0.36086878852559146,0.024858081149467918,0.0020935047352164914,0.008924716517489682,0.001194828021428371,0.006004363819489358,0.2411370814377348
12,5.1673545611509795,5.797615881723428,17132.3671875,0.05015842639394752,0.11059232331434925,0.1899534227135695,0.0011700348052820742,0.0008472951180426554,0.0017714783446972358,0.005172644746468279,0.0013143914248472516,0.090445820684324
13,10.131413220537198,11.360651361506058,26821.708984375,0.05198360091579481,0.03514712158822482,0.3162045266120139,0.005313531353135313,0.0009529669347556181,0.002284202743640019,0.00012357719232619036,0.001138578790613189,0.054704302111649436
14,3.2159821001491045,3.442495162620093,3619.568603515625,0.045817754539312236,0.02836831042037249,0.227151144891088,0.00397822294213703,0.0010780602259667109,0.002479485966249383,0.019877390353729214,0.001385282676300623,0.08222413883865451
15,10.728819109381645,12.015920857397528,37211.10546875,0.054856016042045985,0.05993694873234158,0.2868218504506715,0.00014735318471960514,0.0,0.001986293160890414,0.0020799152755714124,0.0016399466076641442,0.0862358209245093
16,3.6773096147152295,4.079250789414545,5817.9873046875,0.040805142834096184,0.08618906450611263,0.12911864200521467,3.0248431684574615e-05,0.0011696268546325824,0.0015323852710026687,0.0016838677297375945,0.0015069935445392313,0.1052103143298455
17,3.442740004227187,3.8064596145250205,4234.43505859375,0.050022591434615404,0.1450858274985581,0.1084048712151384,5.2783679286364655e-06,0.0008383718120766295,0.001119235585510067,0.00028688814904016433,0.0016923168898606176,0.14274794195881066
18,5.954769753415702,6.59082096648038,19199.806640625,0.08112121699871218,0.2604819028456484,0.20911136623785895,0.004764436759800471,0.0013414133573545948,0.004942870075906469,0.01053491043881009,0.001680329148031165,0.15611250712628713
19,2.282501309061982,2.4014136352574345,1529.201904296875,0.09137675159371457,0.255498613672982,0.30388789586116244,0.0007163435536880642,0.001370014427328152,0.0009452827145794424,0.004322370588224589,0.0020216725703199484,0.16225181936143196
20,6.213291978893774,7.069067512599226,23171.62109375,0.09146307839398547,0.26747019208872,0.2651983819023977,0.00034647929204455105,0.0006497520216007822,0.0020869319375851963,0.020598769531853686,0.003444292179955492,0.17190982819772635
