sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou,perturbed_class_6_iou,perturbed_class_7_iou,perturbed_class_8_iou,perturbed_class_9_iou,perturbed_class_10_iou,perturbed_class_11_iou,perturbed_class_12_iou
1,2.5284726389259853,3.0683579550998012,2212.787841796875,0.5521662831306458,0.9256196618080139,0.9841850996017456,0.7629436254501343,0.0,0.16470985114574432,0.22568945586681366,0.48677772283554077,0.8049750328063965,0.7301902770996094,0.6510865092277527,0.5177519917488098,0.41202741861343384,0.5122048854827881
2,2.5332749201836244,3.081342656018201,2709.6396484375,0.5498297810554504,0.9277828931808472,0.9849933981895447,0.766325831413269,0.0,0.1993318349123001,0.33456769585609436,0.4975961148738861,0.7972854375839233,0.7035253047943115,0.6315237283706665,0.3429161608219147,0.4509755074977875,0.5109632015228271
3,2.5179765242616385,3.1551204502479853,2384.005126953125,0.5757879614830017,0.9241364002227783,0.9854403138160706,0.7694827318191528,0.0,0.2129056751728058,0.3971714377403259,0.4448815584182739,0.8275448679924011,0.7305489182472229,0.6576523780822754,0.5211936235427856,0.4941719174385071,0.5201137661933899
4,2.5188482755530672,3.1335935939201596,2086.22314453125,0.5695216655731201,0.9279744029045105,0.9789556264877319,0.7640058994293213,0.0,0.16976426541805267,0.3616744577884674,0.4762505292892456,0.8230600953102112,0.731702983379364,0.6170520782470703,0.5711562633514404,0.4882274568080902,0.4939573407173157
5,2.5213559559048675,3.14550386379095,1862.1773681640625,0.5632185935974121,0.9136857390403748,0.9848108291625977,0.7651617527008057,0.0,0.18860752880573273,0.37140247225761414,0.4538106620311737,0.8357740640640259,0.7321991324424744,0.6346316337585449,0.46537911891937256,0.4708777070045471,0.5055009722709656
6,2.5158492836216877,3.1025471104302054,2317.884765625,0.5761648416519165,0.9294952154159546,0.9845324158668518,0.7641760110855103,0.0,0.21861623227596283,0.2542402148246765,0.47649702429771423,0.8265125155448914,0.7231298089027405,0.6559828519821167,0.7254992723464966,0.41386324167251587,0.5175983905792236
7,2.5258050300784505,3.095337911953517,1747.1490478515625,0.5432423949241638,0.9200395941734314,0.984258234500885,0.7640407681465149,0.00011102962889708579,0.1746358871459961,0.2659251093864441,0.5065906643867493,0.8378909826278687,0.721924901008606,0.5979039669036865,0.4083007276058197,0.38890931010246277,0.4916198253631592
8,2.5092799607614675,3.1661148717304943,2030.802978515625,0.5948703289031982,0.936427116394043,0.9843300580978394,0.7699218392372131,0.0,0.1754315197467804,0.37388795614242554,0.5063385367393494,0.8411868810653687,0.7294216752052307,0.6424075365066528,0.6523155570030212,0.6202751994132996,0.5013704299926758
9,2.5346721707054294,3.1084068893990437,1936.9322509765625,0.5603874325752258,0.9081910848617554,0.9823740720748901,0.768505334854126,0.0,0.18428540229797363,0.40140679478645325,0.4619159400463104,0.8204706907272339,0.7225974798202515,0.6426131725311279,0.43485069274902344,0.4794251024723053,0.47840118408203125
10,2.5151102557504537,3.162298868583396,2043.9197998046875,0.5709425210952759,0.9150012731552124,0.9810960292816162,0.7658188939094543,0.0,0.1292898803949356,0.31467998027801514,0.4559939205646515,0.8113533854484558,0.7155430316925049,0.681282639503479,0.5815284252166748,0.5588173270225525,0.5118486285209656
