metric,value
desired_percent,0.1
K,20
original_train_loss,2.4217218613200067
original_val_loss,3.0624884224250284
original_grad_norm,1068.796630859375
original_mean_iou,0.5840526223182678
mean_orthogonality,0.0018234016606584191
execution_time_seconds,3817.9947633743286
original_class_0_iou,0.9133066534996033
original_class_1_iou,0.9853264093399048
original_class_2_iou,0.7735129594802856
original_class_3_iou,0.0
original_class_4_iou,0.17308223247528076
original_class_5_iou,0.3936398923397064
original_class_6_iou,0.5162427425384521
original_class_7_iou,0.8294524550437927
original_class_8_iou,0.761163055896759
original_class_9_iou,0.6433852910995483
original_class_10_iou,0.6546658873558044
original_class_11_iou,0.4296141266822815
original_class_12_iou,0.519292414188385
