metric,value
desired_percent,20.0
K,20
original_train_loss,2.4245561379425618
original_val_loss,3.053150800579919
original_grad_norm,1050.0008544921875
original_mean_iou,0.5863162875175476
mean_orthogonality,0.0018234016606584191
execution_time_seconds,3627.8463106155396
original_class_0_iou,0.9136077165603638
original_class_1_iou,0.9849422574043274
original_class_2_iou,0.7845897674560547
original_class_3_iou,0.0
original_class_4_iou,0.2089095413684845
original_class_5_iou,0.4365496337413788
original_class_6_iou,0.507397472858429
original_class_7_iou,0.8288158774375916
original_class_8_iou,0.7562161684036255
original_class_9_iou,0.6628369092941284
original_class_10_iou,0.5797750353813171
original_class_11_iou,0.41430532932281494
original_class_12_iou,0.544166624546051
