metric,value
desired_percent,0.01
K,20
original_train_loss,2.4206107852749716
original_val_loss,3.057179341452051
original_grad_norm,1052.897216796875
original_mean_iou,0.5860024094581604
mean_orthogonality,0.0018234016606584191
execution_time_seconds,3822.1715002059937
original_class_0_iou,0.9236951470375061
original_class_1_iou,0.985103189945221
original_class_2_iou,0.7841100096702576
original_class_3_iou,0.00049578957259655
original_class_4_iou,0.21538665890693665
original_class_5_iou,0.43413060903549194
original_class_6_iou,0.5396456122398376
original_class_7_iou,0.8372155427932739
original_class_8_iou,0.7531135678291321
original_class_9_iou,0.6548978686332703
original_class_10_iou,0.6018502116203308
original_class_11_iou,0.3560658395290375
original_class_12_iou,0.5323212742805481
