metric,value
desired_percent,10.0
K,20
original_train_loss,2.423715241881061
original_val_loss,3.0531499581079538
original_grad_norm,1062.2386474609375
original_mean_iou,0.5916582942008972
mean_orthogonality,0.0018234016606584191
execution_time_seconds,3785.676344394684
original_class_0_iou,0.9165313839912415
original_class_1_iou,0.9853115677833557
original_class_2_iou,0.7727874517440796
original_class_3_iou,0.0
original_class_4_iou,0.20612400770187378
original_class_5_iou,0.4340040683746338
original_class_6_iou,0.4984455406665802
original_class_7_iou,0.8250702619552612
original_class_8_iou,0.7404301762580872
original_class_9_iou,0.6557241678237915
original_class_10_iou,0.6795274019241333
original_class_11_iou,0.4610690474510193
original_class_12_iou,0.5165331363677979
