sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou,perturbed_class_6_iou,perturbed_class_7_iou
1,5.0123848426921285,6.8836971510505816,11054.326171875,0.061089322554747194,0.22465082256596364,0.08542066548534442,0.00907854980989969,0.0021852595295957355,0.004528964592617337,0.007770961145194274,0.002820068649291166,0.1522592886600713
2,14.166374369411562,15.96533153374721,25606.482421875,0.07617340589908819,0.21272943023782614,0.2122985833206706,0.02298229930728613,0.0005957943363137694,0.005777480320441797,0.01736517197136375,0.0013488157954381346,0.13628967190336524
3,10.250617181382955,10.63579711465578,16026.001953125,0.04980293746410941,0.07703720347563048,0.14527860462154424,0.00482358210290938,0.0008369779607237801,0.003278252532764118,0.00720064761508509,0.0021928174551365037,0.15777541394908173
4,17.69441938882779,18.4645351760386,26582.455078125,0.04457278161712854,0.1123234522221815,0.13219874751562377,0.010115592220356283,0.0021443255972523,0.005101313541007725,0.0010567588462476413,0.001683901728124989,0.09195816126623411
5,8.496823231284141,8.852935260162013,12546.697265625,0.05496341687783937,0.10669327672573835,0.1351732392237644,0.016254925038369124,0.0013290599651196932,0.0074098255523082305,0.004376837557841956,0.004052820238014794,0.16441735072155844
6,13.235610443953227,13.85803419285522,19148.13671875,0.08437978008942576,0.3498525534135953,0.21772582016762285,0.003000518248295419,0.0031024515015018045,0.001235762416384162,0.010874971605240567,0.002547097217875588,0.08669906614489056
7,11.54173772206999,11.138715098202741,23729.802734375,0.07554935790439077,0.2410511450722211,0.26980335027393915,0.0027124825679236066,0.00042890592216663476,0.0029539592976995793,0.002898693265797332,0.0026981055988587756,0.08184822123652014
8,19.68719261664941,20.302993132208076,37169.1796875,0.030571769725775876,0.10699369552583225,0.05341849982692059,0.00324778824520038,0.0012175109310654522,0.0015768329022821373,0.0018153997112094593,0.003381709422138293,0.07292272124155845
9,9.286546470165423,9.872501112639199,19542.041015625,0.05125188251914017,0.08626086152327286,0.19221079092847326,0.010714872294351904,0.0010942514553649342,0.007484056174025358,0.007731596761466107,0.001966329011946138,0.10255230200422073
10,16.42112792708575,17.122295000033233,25704.884765625,0.06671676726033089,0.298252047018341,0.12534122802068814,0.013816438867793657,0.0012230852423557171,0.00434468414960332,0.005786221865138687,0.0015557478272555296,0.08341468509147108
11,8.09005504814535,8.727139127631315,19040.57421875,0.06546930421319234,0.056928243885281136,0.27835007002340284,0.005990295221639867,0.0,0.03624601733019683,0.013201939548972993,0.0015603772857463178,0.13147749041029885
12,19.595634249746478,19.967834705961824,36310.8828125,0.06602697033093874,0.3174581716779015,0.15030140402404965,0.007835821538260134,0.0013199873205519028,0.0032601622797847982,0.0001828170110323731,0.001452543124395711,0.0464048556715338
13,15.359460778173021,15.04059732232742,30785.0234375,0.06717099927984069,0.18204516527323877,0.17686317204175372,0.015686874199164834,0.0016085034615834757,0.004729212281946115,0.00252932723205543,0.0010504401915051806,0.152855299557478
14,16.499032588833252,17.647014855899233,33396.546875,0.04752763440314709,0.10107253410453358,0.14133027115818417,0.002072803782176768,0.002731814431516238,0.002571971348482287,0.0027689402353155796,0.0011586610520789198,0.1265140791128892
15,10.764383078869598,11.471128375363843,17363.18359375,0.07046714245825597,0.131263904095702,0.21537718833100028,0.006933705519006806,0.0009785443732958261,0.04356105438687855,7.454437026370526e-05,0.0020815734410398485,0.16346662514886073
16,20.921935969893866,21.855600577268213,30223.92578125,0.030409426306819268,0.008880083778700223,0.10419243739507758,0.008335998376079342,0.0011429564448332897,0.004429128279538723,0.004013963452522598,0.001554641468473097,0.11072620125932926
17,14.978207204950731,14.96973761630063,21599.962890625,0.03263980521387884,0.08934434161108326,0.056547039283466764,0.014176657699119083,0.0012342299601410132,0.0017253472427192031,0.0036332205363101555,0.0020497546331869807,0.09240785074500427
18,16.073416180436265,16.946228642167377,32057.17578125,0.0652328461902796,0.13689357789180187,0.2662569266808454,0.0007460596572257599,0.00022698082288852473,0.020108629709021927,0.004258260537189506,0.0011841742650959153,0.09218815995816788
19,13.74920570435929,14.305791784271127,25112.69140625,0.022813724105387553,0.018828116668388992,0.012832795460229845,0.008985886246244393,0.00123678500547866,0.00214337547044701,0.005389128723734109,0.003313593551914522,0.1297801117166629
20,20.59746619492222,21.425998398633094,57508.28515625,0.037022450171419426,0.09547181574148976,0.08278159208217857,0.0014839493142933438,0.0007847789387233654,0.0015845827109463332,0.005990244971382435,0.0014281365322871247,0.10665450108005446
