sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou,perturbed_class_6_iou,perturbed_class_7_iou
1,1.9436787454176696,1.9653221976825888,4302.24755859375,0.7056511640548706,0.9632207751274109,0.9214839935302734,0.8517048358917236,0.0,0.7405877709388733,0.6346163153648376,0.5860416293144226,0.9475536346435547
2,1.926874388646725,1.9541884337666902,4477.67431640625,0.7061284184455872,0.9573817849159241,0.9132187366485596,0.8000336289405823,0.10756756365299225,0.8401650190353394,0.5905303955078125,0.5277122855186462,0.9124181866645813
3,1.9252149089277801,1.9550468303074857,4548.23193359375,0.7409708499908447,0.9410414099693298,0.8986642360687256,0.8229823708534241,0.5373510718345642,0.7861015796661377,0.5719892382621765,0.4667503237724304,0.9028864502906799
4,1.9417722136978541,1.966274757025588,3866.986572265625,0.7184476852416992,0.9502021074295044,0.906120777130127,0.7675747871398926,0.1075168028473854,0.8059018850326538,0.5923428535461426,0.6975261569023132,0.9203958511352539
5,1.9423962219149615,1.9728386340222586,4028.31884765625,0.7061201333999634,0.9454582333564758,0.9098507165908813,0.795536994934082,0.00560690276324749,0.8148224949836731,0.5855544209480286,0.6854806542396545,0.9066506028175354
6,1.9636414100822794,1.982979709665632,5147.09326171875,0.7112970352172852,0.9411186575889587,0.897798478603363,0.7598158717155457,0.0,0.8464985489845276,0.6384942531585693,0.713956892490387,0.8926935791969299
7,1.9491277451904256,1.9912886795799176,4571.05224609375,0.7162403464317322,0.947590708732605,0.9053059220314026,0.8039662837982178,0.09460184723138809,0.7997973561286926,0.6171004176139832,0.6484444737434387,0.9131155610084534
8,1.9532396505355814,1.9989534290211688,4572.33642578125,0.7390725612640381,0.9467963576316833,0.9002466201782227,0.7944269776344299,0.24617087841033936,0.8354133367538452,0.595068097114563,0.6728234887123108,0.921634316444397
9,1.9471148667753815,1.9925252663507995,4713.9150390625,0.6922369003295898,0.9428628087043762,0.8988500833511353,0.7806974649429321,0.0,0.8357195854187012,0.5824875235557556,0.5978385210037231,0.89943927526474
10,1.9560910339959041,1.9846556165388585,4339.6181640625,0.7503464221954346,0.9433905482292175,0.9056681394577026,0.8573352098464966,0.31723228096961975,0.8458545804023743,0.590729296207428,0.6517878770828247,0.8907734155654907
11,1.9610125449968507,1.9698552849452067,4969.59033203125,0.753983736038208,0.9487888813018799,0.9035863876342773,0.792547881603241,0.3696320950984955,0.847161054611206,0.5510257482528687,0.702210545539856,0.916917622089386
12,2.0028568174234826,2.0186331393119272,4075.313720703125,0.7490782737731934,0.9532190561294556,0.9057995676994324,0.8157858848571777,0.22575680911540985,0.8654406070709229,0.5814705491065979,0.7175398468971252,0.9276137351989746
13,2.0069189241394922,1.9982935921798275,4143.01318359375,0.7326011657714844,0.9492323994636536,0.9132112264633179,0.7846063375473022,0.23977778851985931,0.8011246919631958,0.5854412317276001,0.6872945427894592,0.900120735168457
14,2.0376968159038733,2.028011769641117,4790.03955078125,0.7516024708747864,0.9394607543945312,0.9029208421707153,0.8433337807655334,0.3869583010673523,0.7996172308921814,0.6167420148849487,0.6397492289543152,0.8840375542640686
15,2.0519055655659217,2.0428636174712826,3932.958984375,0.7153152227401733,0.9385994076728821,0.897406280040741,0.8118041157722473,0.10689003020524979,0.846098780632019,0.5651795268058777,0.672962486743927,0.8835813999176025
16,2.099232714271831,2.0587630890321877,3959.507080078125,0.7048549652099609,0.935375452041626,0.896895706653595,0.8001940250396729,0.047456540167331696,0.8015802502632141,0.5844041705131531,0.6837812662124634,0.8891522288322449
17,2.1170236439008567,2.0660549371615633,4206.5595703125,0.7472133636474609,0.9485070705413818,0.895134687423706,0.7545390725135803,0.29879963397979736,0.8798907399177551,0.5992918014526367,0.6998373866081238,0.9017066359519958
18,2.136313732764918,2.147739423974982,6063.02294921875,0.708187460899353,0.943926990032196,0.9080124497413635,0.8054064512252808,0.0,0.8419215083122253,0.6359054446220398,0.6328083276748657,0.8975187540054321
19,2.092723121473475,2.115276415604178,5081.71630859375,0.6860518455505371,0.9524328708648682,0.9062106609344482,0.7911956310272217,0.0980614423751831,0.7598863244056702,0.5917376279830933,0.46328651905059814,0.9256036281585693
20,2.050195712845118,2.095323618107593,4244.9638671875,0.7036320567131042,0.9430405497550964,0.9052106738090515,0.7378390431404114,0.30099835991859436,0.7358807325363159,0.545677661895752,0.5602390766143799,0.9001702070236206
