sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou
1,0.04944902520929709,0.34916082108208313,146.96144104003906,0.5248134732246399,0.861758291721344,0.7771595120429993,0.6583930253982544,0.3544231951236725,0.4098511040210724,0.08729556202888489
2,0.05245024015534277,0.36605305109224795,131.31236267089844,0.5181068181991577,0.8570753931999207,0.7839616537094116,0.6373465657234192,0.3544953465461731,0.33916985988616943,0.13659223914146423
3,0.05016397864335842,0.3685618927533174,117.0235824584961,0.502691924571991,0.8590030074119568,0.7836960554122925,0.6467315554618835,0.32672247290611267,0.28372183442115784,0.11627655476331711
4,0.050446246855557625,0.3763309066003144,132.0113983154297,0.5349425673484802,0.8570427894592285,0.7917850017547607,0.646116316318512,0.3412163257598877,0.41073858737945557,0.16275669634342194
5,0.051974982282753046,0.3454844088685054,112.99531555175781,0.5070542097091675,0.8515746593475342,0.7556146383285522,0.6451806426048279,0.31322306394577026,0.35765770077705383,0.1190745085477829
6,0.05283212645916255,0.3947328656472188,115.2486343383789,0.5779750943183899,0.8585724830627441,0.7813805937767029,0.6541422605514526,0.425456702709198,0.6190868616104126,0.12921136617660522
7,0.0509377626823522,0.37761749000217126,129.71377563476562,0.5390272736549377,0.8618013858795166,0.7424601316452026,0.6641445159912109,0.3715117573738098,0.44982391595840454,0.1444222778081894
8,0.04972650559071427,0.36222375637582405,121.62350463867188,0.5400150418281555,0.8548557758331299,0.7542505264282227,0.652405321598053,0.4624946713447571,0.43775033950805664,0.07833357900381088
9,0.04871933858519191,0.36762509724834247,108.48975372314453,0.5355068445205688,0.8610869646072388,0.8126294016838074,0.6335400342941284,0.3676186800003052,0.38678234815597534,0.15138395130634308
10,0.04948832550409933,0.35544774983655636,122.30509185791016,0.5119648575782776,0.8492798805236816,0.7518918514251709,0.6411080956459045,0.3580840826034546,0.3324224054813385,0.1390029788017273
11,0.05133744622144871,0.3509416708343031,117.8780746459961,0.5205779671669006,0.86109459400177,0.7919110059738159,0.6510119438171387,0.3810614347457886,0.34583356976509094,0.09255505353212357
12,0.04792922734579536,0.37927760318558135,134.5947265625,0.544738233089447,0.8637952208518982,0.8154636025428772,0.6486167907714844,0.37753790616989136,0.4310203790664673,0.13199545443058014
13,0.04896238265927425,0.39240338509624345,125.429931640625,0.5335067510604858,0.8575079441070557,0.7958391904830933,0.6426883935928345,0.3843936622142792,0.4057696759700775,0.11484166234731674
14,0.04789658352546577,0.3704597277193762,103.83697509765625,0.5256868004798889,0.8525989055633545,0.7812572717666626,0.6405458450317383,0.3380173146724701,0.44882553815841675,0.09287593513727188
15,0.04981807126052249,0.3529037566101182,121.07101440429688,0.5280759334564209,0.8614097833633423,0.7755450010299683,0.6562516093254089,0.3082180619239807,0.441019207239151,0.12601175904273987
16,0.051037576765390676,0.38400718302680675,126.46929168701172,0.547488272190094,0.8580208420753479,0.7831066846847534,0.6524115800857544,0.4425124526023865,0.3942909240722656,0.15458697080612183
17,0.049167926948632264,0.3556848355916964,109.59392547607422,0.5075706839561462,0.8594651818275452,0.771748423576355,0.6596536636352539,0.34069404006004333,0.3318486511707306,0.08201416581869125
18,0.04769144334659318,0.36327930307491096,113.13921356201172,0.5390130281448364,0.8645262718200684,0.7949427962303162,0.6497647166252136,0.38394540548324585,0.3790159225463867,0.1618829220533371
19,0.051135321909243754,0.38580167013907507,80.36195373535156,0.5389034152030945,0.8605406880378723,0.775931715965271,0.6540618538856506,0.4328543245792389,0.38037005066871643,0.12966161966323853
20,0.050580780235538546,0.35585676066447314,104.47209167480469,0.5092247724533081,0.8524327278137207,0.7244709134101868,0.6459471583366394,0.34480634331703186,0.3666552007198334,0.1210363358259201
