metric,value
desired_percent,0.1
K,20
original_train_loss,2.4178035274345477
original_val_loss,3.0798557141822327
original_grad_norm,962.48974609375
original_mean_iou,0.5763683915138245
mean_orthogonality,0.001830814522691071
execution_time_seconds,3879.16890001297
original_class_0_iou,0.9085564017295837
original_class_1_iou,0.9816221594810486
original_class_2_iou,0.7630003094673157
original_class_3_iou,0.0
original_class_4_iou,0.26772406697273254
original_class_5_iou,0.47834479808807373
original_class_6_iou,0.5021905899047852
original_class_7_iou,0.8043423891067505
original_class_8_iou,0.7366170883178711
original_class_9_iou,0.639331579208374
original_class_10_iou,0.4571370780467987
original_class_11_iou,0.4357382357120514
original_class_12_iou,0.5181839466094971
