sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou,perturbed_class_6_iou,perturbed_class_7_iou,perturbed_class_8_iou,perturbed_class_9_iou,perturbed_class_10_iou,perturbed_class_11_iou,perturbed_class_12_iou
1,1.3540533246994018,1.4948703706264497,922.0787353515625,0.4721153974787107,0.8655574859962024,0.910194828303964,0.7126757120642578,0.0002662375996944055,0.1287792780027501,0.3800162823840808,0.2801742786284189,0.6353495366457368,0.6182148583302592,0.19709464585518693,0.6095211381894703,0.39164801235044383,0.40800787287277235
2,1.2906933468580246,1.4794365048408509,861.59765625,0.5624118318627943,0.8883858590864652,0.9579517266157642,0.7595499510682217,0.00010310032659522811,0.1896387098455336,0.4841945412588304,0.3837882057411773,0.7108359563706571,0.8107310366311374,0.4150706040247927,0.6714922725202023,0.5608184475357503,0.47879340319119795
3,1.326332108259201,1.48522247672081,1159.018310546875,0.5368608629436027,0.8771875021731249,0.94972434520991,0.747481421828723,0.00016070149696937938,0.17363902175705867,0.4347756444704549,0.3975402768061691,0.6909170247615292,0.7324841570831536,0.37154342930524276,0.658595062349655,0.4913317598982155,0.4538108711266281
4,1.4536443717479706,1.5789006412029267,1098.21533203125,0.4378853655335429,0.7864919374030744,0.8691250318934804,0.690734453828558,0.00017035398928031748,0.13246321238396427,0.3905104752933034,0.2980180162904741,0.5803571391735458,0.4938406379638842,0.14511173687857754,0.5549061214104567,0.3716189135740212,0.3791617218534362
5,1.3121648263931274,1.492783749103546,1014.8305053710938,0.5486575263404394,0.8717269588832908,0.9491129673811306,0.7524454145254069,0.00013455062071367232,0.1863347057138547,0.47087908097956327,0.35962645877911975,0.6985156463712483,0.7833166313173652,0.301878345184749,0.6639710013312807,0.6247576840707948,0.46984839726719396
6,1.4158585991859436,1.55284686088562,965.4729614257812,0.4743830808215495,0.8312615577041952,0.9074292330202679,0.7197998986950539,0.0002038902255025894,0.11113417606740514,0.4164079234276935,0.3350979384004587,0.6092760964632136,0.5938992284962339,0.21923649766070144,0.5993253400563046,0.42578109686777216,0.3981271735953418
7,1.273805433034897,1.473514324426651,1015.6025390625,0.5760824974307359,0.8934614944766373,0.9612658457851333,0.7656704800044496,1.2488175259051586e-05,0.2068323567358187,0.47090253835046963,0.42361640068441225,0.7252639234484778,0.8240379261434114,0.44531962355086624,0.6830925054160919,0.5971106033766876,0.49248628045185106
8,1.3626000709533692,1.5299957394599915,1156.950439453125,0.5182777885491897,0.8595430395315523,0.9394457593816512,0.7364173420232707,8.619382911627548e-05,0.1696165174623585,0.45035939583018375,0.35524715882580826,0.6688842337157326,0.6939731867938643,0.2713199680126273,0.6421362643357469,0.5137965498961876,0.43678564150136745
9,1.3163391637802124,1.4853656375408173,1036.1492919921875,0.5203786827490929,0.8655649927207232,0.9377517228007876,0.7409426654765937,0.0005791848772341257,0.13727004944016374,0.4455970742784898,0.34850243814300813,0.6697155341244732,0.6973690617042306,0.32249935888144327,0.6379519241948755,0.5282512382671173,0.4329276308290694
10,1.3882245004177094,1.5187902224063874,1019.0632934570312,0.4480861990228387,0.845071264669306,0.8920251697666584,0.6994525486373856,0.0008380489314876124,0.10432642735534614,0.36288257804867124,0.26726007563647375,0.6172692563847254,0.5736040197122063,0.1621837961531896,0.5823283824099259,0.32910117620268026,0.3887778433888462
11,1.4585173490047454,1.5844655239582062,1097.857177734375,0.44144805451862534,0.7793543189877852,0.8828333513999137,0.6840861366069939,0.00046697441280109674,0.1282804317155462,0.3861460405806154,0.28869867313765685,0.5916174856589715,0.5105853124956731,0.13192962352885004,0.5618239578211517,0.41886153535474413,0.37414086704142546
12,1.342003741979599,1.4995385360717775,1023.2640380859375,0.5036330672901241,0.8524376328224197,0.9458328576452713,0.7298260282540118,0.0004546487838145033,0.16111624477354677,0.43665749646312524,0.3467283352788897,0.6624032163886988,0.6564536212775557,0.22090790729971357,0.6262240510068403,0.47971069632672797,0.4284771384509992
13,1.4258165626525878,1.564704796075821,1194.7115478515625,0.48100794186941875,0.803067559082305,0.9438103829326597,0.7040445078732586,3.438520810865726e-05,0.14064798965290687,0.3660950781087006,0.33835048572531584,0.6604259964026196,0.6710960935888495,0.2540992975793219,0.5968593924754088,0.3667065427440876,0.4078655329289009
14,1.3978456418514251,1.5516086030006409,1155.027099609375,0.4829818591376424,0.8183020889940948,0.9477491525822825,0.7075547614153901,1.3838187308168128e-05,0.14190728195554797,0.3720941096778338,0.33402067429606835,0.6543507579014896,0.6573641224939567,0.21120626265597248,0.609131055312437,0.4097732640826121,0.4152967992343575
15,1.286361742258072,1.473598037958145,1048.2955322265625,0.5563823356355968,0.8816786306274205,0.9587474305093656,0.7564643589856824,7.752872870113537e-05,0.1825942169937758,0.44178364042521534,0.40391852768651776,0.7099310572207406,0.8042867882291698,0.36538198330206834,0.6734540023699217,0.57748670694023,0.4771654912439496
16,1.4437712211608886,1.5614532220363617,1007.5238647460938,0.4497171091011802,0.750285968312326,0.9236920743767867,0.6895916971965218,0.00017899039740705802,0.12166079037286105,0.392673901336284,0.2902567198360126,0.5725994496078044,0.5607444152670273,0.17934503680476951,0.585100076232949,0.4014276965475006,0.3787656020270904
17,1.3835075335502625,1.5486615228652953,965.8497924804688,0.5013352774011767,0.8324159214397495,0.9281833646527535,0.7200811747209246,0.0004688349244677894,0.15898213989632443,0.43941822528407953,0.31051164946535353,0.6354766407555271,0.6928472971563272,0.22250824947223874,0.6358028611514115,0.4998482261612135,0.44081402113492524
18,1.329051079750061,1.500422886610031,1040.95556640625,0.524638461044955,0.8787817095313653,0.9472684013927676,0.7396807649675871,0.00018122956018880825,0.16112800367649374,0.4231690905361529,0.35966310694184134,0.6887880239173343,0.7433552089236952,0.2606580759993661,0.6492307081283013,0.5091016498424048,0.4592940201669172
19,1.416765737771988,1.5480460917949677,1092.9102783203125,0.4526499969027752,0.77566729745265,0.9137494816244168,0.6933922655929672,0.0009337889218297238,0.1303658448576755,0.39447476891649097,0.29643472951773525,0.591878256306132,0.5690996363187716,0.15976586185987543,0.5800407962049775,0.3999122988635964,0.378734933298959
