sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou
1,0.057044322389971314,0.35117701132800544,267.6080017089844,0.5153498649597168,0.8496683835983276,0.7701848745346069,0.6391053795814514,0.36090022325515747,0.31900733709335327,0.15323308110237122
2,0.05980482936014347,0.5083983791083778,411.0329895019531,0.5051447153091431,0.8206737041473389,0.5928834676742554,0.647397518157959,0.315593957901001,0.5139407515525818,0.14037904143333435
3,0.056449965939492246,0.32541416298200737,288.6962585449219,0.4958666265010834,0.8513109087944031,0.7441737651824951,0.64175945520401,0.2652260661125183,0.41195935010910034,0.06077010557055473
4,0.059540363698452815,0.36475193281451185,354.8850402832031,0.5309502482414246,0.8449838161468506,0.7400686144828796,0.6481512188911438,0.352588027715683,0.44415512681007385,0.15575489401817322
5,0.06673621926234297,0.40661846058214657,606.5908813476562,0.499822735786438,0.8386440277099609,0.7631933689117432,0.6101071238517761,0.2057334929704666,0.5079203844070435,0.07333778589963913
6,0.061604330917374266,0.4670312896739112,605.6145629882812,0.5055371522903442,0.8452027440071106,0.7012178897857666,0.6244655847549438,0.2166668176651001,0.5343466401100159,0.11132354289293289
7,0.0647366218403319,0.46372415872755945,648.7268676757812,0.5305706262588501,0.8305251598358154,0.79700767993927,0.6072421669960022,0.550368070602417,0.2766258120536804,0.12165485322475433
8,0.05982785432666087,0.4235905483117134,335.99151611328125,0.48472511768341064,0.8123645782470703,0.7167661786079407,0.6133715510368347,0.41171795129776,0.2750122845172882,0.07911822199821472
9,0.05859867987560004,0.4168532072425477,347.1053161621094,0.5107796788215637,0.8440325260162354,0.7701889872550964,0.6099177598953247,0.3222202956676483,0.4078879654407501,0.11043064296245575
10,0.059523223471619376,0.39589820396329645,419.0465087890625,0.5148661136627197,0.8591414093971252,0.7634945511817932,0.6603183746337891,0.31423553824424744,0.3366929590702057,0.15531404316425323
11,0.05797236453420374,0.3923625505556073,370.9030456542969,0.5491295456886292,0.8455877304077148,0.8155269026756287,0.6207777261734009,0.38143089413642883,0.4838373363018036,0.14761663973331451
12,0.06006516784840889,0.42334376515145344,592.1131591796875,0.5229190587997437,0.8439446687698364,0.7197564840316772,0.6271644234657288,0.2517995238304138,0.5871507525444031,0.10769835859537125
13,0.05723736363958463,0.3465444756185031,388.3897705078125,0.5161364078521729,0.8419879674911499,0.7480636239051819,0.6070147156715393,0.3340916335582733,0.4082529842853546,0.1574075073003769
14,0.05875177367377846,0.39377105197844425,525.0120239257812,0.5138952136039734,0.8336091637611389,0.693126916885376,0.6203469634056091,0.24858660995960236,0.5035086870193481,0.18419288098812103
15,0.05475586044295595,0.3927580897191155,295.4134216308594,0.5203953981399536,0.8319259285926819,0.7447735667228699,0.6344175934791565,0.3666074573993683,0.4735468924045563,0.07110098749399185
16,0.05672460939842495,0.39218696675660225,330.2988586425781,0.5598869323730469,0.8412528038024902,0.7450698018074036,0.6403120160102844,0.5257411599159241,0.4288170039653778,0.17812906205654144
17,0.05916203229852086,0.37917494507807503,382.9853820800781,0.5369037985801697,0.8355262875556946,0.8080621361732483,0.6293296217918396,0.38162389397621155,0.49729371070861816,0.06958722323179245
18,0.055051529734729064,0.3911022312567536,180.63536071777344,0.5121708512306213,0.8685631155967712,0.7965741157531738,0.6330010890960693,0.19659645855426788,0.44444340467453003,0.13384684920310974
19,0.06109409266057241,0.40138774249339987,477.92987060546875,0.5381876230239868,0.8486639261245728,0.7766753435134888,0.5961421728134155,0.3668142259120941,0.42559877038002014,0.21523140370845795
20,0.053984408259101,0.3921999671444609,226.97299194335938,0.5189217329025269,0.8601639270782471,0.7884336709976196,0.6478188037872314,0.3241739273071289,0.3842100203037262,0.10872997343540192
