sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou
1,4.71345724773407,5.67001781463623,5580.771484375,0.12486051354745097,0.35633056673825997,0.17871848714850486,0.19780783505561797,0.005679194088442443,0.0031963228254870105,0.0074306754283936256
2,4.699332396745682,5.695061612129211,5342.064453125,0.13743612144526215,0.47207486416039435,0.16688883896665377,0.15908798444086175,0.010531927990956645,0.0035966032529907636,0.01243650985971588
3,7.449708241462708,12.23924012184143,10932.6787109375,0.10712169531159027,0.380876658492472,0.09475864134828267,0.1495622938618338,0.005874498001973114,0.0014458266939305134,0.010212253471049525
4,16.501145228385926,25.48776445388794,23907.390625,0.08729596652901078,0.29072692824068613,0.07399392393838225,0.1470669646793616,0.005425305173416005,0.001138031123357238,0.005424646018861481
5,8.705151230812072,11.594905710220337,19031.154296875,0.1057224676178367,0.4293839707627216,0.11603081556946522,0.0743669517090946,0.00632221495530848,0.0016967671974855369,0.006534085512944707
6,8.09024728679657,13.58323826789856,12069.732421875,0.10348287148831344,0.3431051063037219,0.1405992612706617,0.10697025005027479,0.008079709288118492,0.0015320559649261345,0.020610846052177716
7,4.375988475561142,7.352610301971436,8263.453125,0.12347613640020598,0.390532822883814,0.1879885012027766,0.14322836554755486,0.013396905256384005,0.0017184727745445604,0.003991750736161754
8,6.994530911207199,10.419243049621581,12760.0712890625,0.09584550840473434,0.24841551515798962,0.14475273187124474,0.15860582233677384,0.009977753290226002,0.0031004803454867135,0.010220747426685129
9,9.83791646671295,15.566821765899657,15755.6455078125,0.05744718042985048,0.1368136391704122,0.11731685104345141,0.07701582233672369,0.00608675579560858,0.0009758259526089699,0.006474188280298106
10,7.310609249591828,12.88109312057495,11046.189453125,0.13007677368569176,0.44092907284030297,0.1898688966435249,0.1301645218055567,0.008704067062146504,0.0020841808977794976,0.008709902864839848
11,16.178165590286255,28.601813888549806,20232.537109375,0.12324697206097501,0.39553221428683394,0.11215227973305379,0.21597428446335087,0.006397623355665314,0.0015120677065050775,0.007913362820441175
12,6.00274559211731,11.499132108688354,8229.9921875,0.11974423050652111,0.38387562981009765,0.11699619040357608,0.20129695439454046,0.004245592310565662,0.003429586322395968,0.00862142979795089
13,5.986397530078888,8.528558707237243,9755.1474609375,0.13890800015801671,0.3419075515513032,0.21468308140205747,0.1625200421670076,0.006096543005102964,0.10697343453510437,0.0012673482875247832
14,9.215754035949708,12.514401197433472,11905.423828125,0.08770631836064365,0.243794230000759,0.14911014099829534,0.11690649267134416,0.007356315776439785,0.001508829195870476,0.00756190152115312
15,12.176112545967102,18.345963764190675,19887.962890625,0.08710242033536457,0.21125522955393514,0.12206620197326329,0.1682053863099658,0.006297643142886737,0.005303098052918502,0.009486962979218048
16,3.7943701677322386,5.84619882106781,8742.67578125,0.12276350991694938,0.4475654604698842,0.1401571601895054,0.10289790585707413,0.04112274262835217,0.0010307903891978193,0.003806999967682513
17,12.161054720401763,23.20539779663086,15994.7998046875,0.12325957888593171,0.45341350641146444,0.14082351574704394,0.10733378668066897,0.021189150936976906,0.0014371063318326356,0.01536040720760342
18,16.501683773994447,30.016325378417967,26784.826171875,0.09852638690461789,0.4042009718173884,0.07603075437441503,0.0904790362166094,0.009673316086668786,0.0010887886198196251,0.009685454312806105
19,6.67511912059784,11.249953031539917,8539.9150390625,0.1404447589379422,0.46358213554272576,0.11938641682167685,0.1610866831884944,0.005703544758494881,0.08548185770240606,0.007427915613855365
20,7.65407690858841,12.628366899490356,11467.5927734375,0.1377842491935999,0.4772073716086389,0.16256809245858275,0.15897696763877225,0.00550461187098435,0.015514707362741348,0.006933744221879815
