sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou,perturbed_class_6_iou,perturbed_class_7_iou
1,1.8423282933203167,1.8727210389685642,2137.435302734375,0.681674063205719,0.9489025473594666,0.9156869649887085,0.8489454388618469,0.07405320554971695,0.6688944101333618,0.5997668504714966,0.4915411174297333,0.9056018590927124
2,1.8387947236811468,1.8605718088789267,2158.5478515625,0.7022958993911743,0.9557406902313232,0.9117112755775452,0.7768173813819885,0.029874790459871292,0.7749410271644592,0.59485924243927,0.6532147526741028,0.9212077260017395
3,1.8367417240177555,1.8710911174413407,2604.632568359375,0.7417300939559937,0.9497634172439575,0.9080179333686829,0.8239154815673828,0.49807146191596985,0.8256042003631592,0.5724004507064819,0.4467143416404724,0.9093535542488098
4,1.8432242132575947,1.8828189364572396,2035.6890869140625,0.7282726764678955,0.9525104761123657,0.906449019908905,0.8200617432594299,0.035710856318473816,0.8898707628250122,0.614091157913208,0.6713749766349792,0.9361125230789185
5,1.846409969914866,1.891413780854226,2725.15185546875,0.7445163130760193,0.9496978521347046,0.9079141020774841,0.8315187096595764,0.3664700388908386,0.8176345229148865,0.5549907088279724,0.6060806512832642,0.9218237996101379
6,1.8570541410448989,1.8804745741906774,2960.384033203125,0.7125399112701416,0.9460306763648987,0.9034284353256226,0.779786229133606,0.006769025698304176,0.8485112190246582,0.6302513480186462,0.6782167553901672,0.9073256254196167
7,1.8538130135413817,1.8861123412007086,3309.638427734375,0.7211853861808777,0.9550591707229614,0.909133791923523,0.8198358416557312,0.04654496908187866,0.8453800082206726,0.6232225894927979,0.6402820944786072,0.9300246834754944
8,1.8537394068008128,1.899815696763372,2170.303466796875,0.7591108083724976,0.9507200121879578,0.9001388549804688,0.8080511093139648,0.3179300129413605,0.8328696489334106,0.5788862705230713,0.7555208206176758,0.9287697672843933
9,1.8660721396782383,1.9049736458889348,2562.612060546875,0.7009148597717285,0.9499636888504028,0.9018523097038269,0.8341819047927856,0.06803464889526367,0.8210592269897461,0.5597067475318909,0.5531367659568787,0.9193835258483887
10,1.8761490249419401,1.8922433792552282,2486.15576171875,0.7351508736610413,0.9462113380432129,0.9048202633857727,0.8074637055397034,0.33635061979293823,0.8334670662879944,0.5906687378883362,0.5570526719093323,0.9051727652549744
11,1.8844574600794426,1.8743491021634484,2345.173583984375,0.7193121910095215,0.9442247748374939,0.9014216065406799,0.7952806949615479,0.2205219864845276,0.8485416769981384,0.5203123092651367,0.6209416389465332,0.9032530784606934
12,1.9011139957619483,1.919055055345178,2119.871826171875,0.7494450211524963,0.950188934803009,0.9084898829460144,0.8232868909835815,0.26761066913604736,0.8513244986534119,0.584433913230896,0.6964530348777771,0.913772463798523
13,1.9156792949775296,1.8712281424394361,2596.08154296875,0.7880105972290039,0.9541441202163696,0.8991858959197998,0.8044679760932922,0.5726694464683533,0.8779648542404175,0.6067388653755188,0.6646368503570557,0.9242768883705139
14,1.9326259963431904,1.9180302459194032,2355.464599609375,0.6972159147262573,0.9443586468696594,0.8972374796867371,0.7796032428741455,0.02216271683573723,0.7602484822273254,0.5825208425521851,0.676155686378479,0.9154402017593384
15,1.9729693697749788,1.9794937728605697,2314.70703125,0.703117847442627,0.9530607461929321,0.9120398163795471,0.7902454733848572,0.0,0.7830000519752502,0.5698260068893433,0.6961582899093628,0.9206121563911438
16,2.009842035398188,1.97533566400138,2335.843994140625,0.7052801847457886,0.9308167695999146,0.8984129428863525,0.774512529373169,0.11835408210754395,0.7899805307388306,0.6663957238197327,0.5994085073471069,0.8643604516983032
17,2.03648446137815,1.982119073108715,2230.092529296875,0.7081098556518555,0.9435915350914001,0.9075914025306702,0.7749089598655701,0.03240780532360077,0.8352261781692505,0.5832981467247009,0.7006646394729614,0.8871903419494629
18,2.0415860556940344,2.0089926427795395,3314.947509765625,0.7633613348007202,0.9323727488517761,0.9016352295875549,0.8485507369041443,0.5020037293434143,0.8426784873008728,0.6019464731216431,0.6117442846298218,0.8659589886665344
19,2.0130121423999885,2.0120925163808057,2528.7783203125,0.6927237510681152,0.9517313838005066,0.9062590599060059,0.8468666672706604,0.2694196105003357,0.6881698369979858,0.507744312286377,0.46584752202033997,0.9057513475418091
20,1.9557357889912326,2.0202894460090555,2310.216552734375,0.7134073376655579,0.9571829438209534,0.912227213382721,0.7847602367401123,0.08512512594461441,0.7602996230125427,0.6153534054756165,0.6573620438575745,0.9349480271339417
